Course End Year,total_registered
1965,7
1966,12
1967,8
1968,9
1969,25
1970,11
1971,27
1972,19
1973,16
1974,31
1975,58
1976,60
1977,42
1978,111
1979,96
1980,64
1981,62
1982,76
1983,62
1984,109
1985,82
1986,85
1987,101
1988,55
1989,153
1990,80
1991,83
1992,107
1993,139
1994,96
1995,147
1996,162
1997,125
1998,142
1999,121
2000,145
2001,130
2002,113
2003,133
2004,166
2005,182
2006,126
2007,183
2008,137
2009,162
2010,158
2011,214
2012,289
2013,320
2014,352
2015,479
2016,522
2017,584
2018,740
2019,570
2020,833
2021,905
2022,1472
2023,1001
2024,1260
2025,1077
